,Negative,comment_score
629,1.0,1429
630,0.895829636202307,6
631,0.9276139410187667,68
632,0.9565217391304348,466
633,0.8888888888888888,713
634,0.9142857142857143,342
635,1.0,1242
636,1.0,1012
637,1.0,2498
638,1.0,4456
639,1.0,1520
640,1.0,3217
641,0.9107883817427386,87
642,0.9165402124430956,72
643,0.8987341772151899,215
644,1.0,1608
645,1.0,-265
646,1.0,3328
647,1.0,3580
648,1.0,2027
649,0.8571428571428571,756
650,1.0,7175
651,1.0,3510
652,1.0,1786
653,1.0,2616
654,0.9171374764595104,58
655,0.9655172413793104,320
656,0.9130434782608695,255
657,0.9508196721311475,258
658,1.0,1773
659,1.0,665
660,0.8,-181
661,1.0,3345
662,0.8333333333333334,883
663,0.6666666666666666,854
664,0.4,-119
665,1.0,8725
666,0.0,4058
667,1.0,1259
668,1.0,4747
669,1.0,2207
670,0.0,1665
671,1.0,4088
672,1.0,1098
673,1.0,-133
674,0.9615384615384616,221
675,0.9326923076923077,107
676,1.0,424
677,0.9523809523809523,271
678,0.7647058823529411,-104
679,0.9420289855072463,266
680,1.0,1150
681,0.7777777777777778,1124
682,0.8,997
683,1.0,1769
684,1.0,6042
685,1.0,3733
686,1.0,2164
687,1.0,3094
688,1.0,3608
689,1.0,1817
690,1.0,882
691,1.0,1862
692,1.0,6066
693,1.0,3886
694,0.8957727388247254,9
695,0.8125,-96
696,0.8974358974358975,316
697,0.875,920
698,1.0,2191
699,0.9333333333333333,407
700,0.9473684210526315,554
701,1.0,1476
702,1.0,744
703,1.0,1675
704,1.0,789
705,1.0,897
706,1.0,5403
707,1.0,968
708,1.0,3174
709,0.7925170068027211,-24
710,0.9015995140716744,27
711,0.9163090128755365,63
712,0.9103448275862069,158
713,0.9166666666666666,397
714,1.0,754
715,0.8181818181818182,447
716,0.8888888888888888,389
717,1.0,796
718,0.8888888888888888,856
719,1.0,2255
720,1.0,2281
721,1.0,933
722,1.0,3857
723,1.0,5302
724,1.0,2172
725,1.0,1531
726,1.0,1570
727,1.0,1623
728,1.0,1693
729,1.0,5056
730,1.0,959
731,1.0,2760
732,0.9130832570905764,56
733,0.9027877055039314,51
734,1.0,4671
735,1.0,2864
736,1.0,7242
737,1.0,11021
738,1.0,9392
739,0.0,-169
740,1.0,2287
741,1.0,3261
742,0.8796992481203008,178
743,1.0,4076
744,1.0,702
745,0.96875,353
746,1.0,1739
747,1.0,2444
748,1.0,7711
749,1.0,1164
750,1.0,6709
751,0.9324324324324325,234
752,0.8656716417910447,239
753,0.9473684210526315,341
754,1.0,610
755,0.0,1437
756,0.8888888888888888,891
757,1.0,-136
758,0.0,-198
759,1.0,3502
760,1.0,3905
761,0.8936170212765957,279
762,0.9085714285714286,150
763,1.0,574
764,1.0,1426
765,1.0,1800
766,0.9072085889570553,52
767,0.8620689655172413,346
768,0.9112426035502958,146
769,1.0,608
770,1.0,2066
771,0.9375,546
772,1.0,10036
773,1.0,1762
774,1.0,5073
775,0.0,-290
776,1.0,1307
777,1.0,694
778,1.0,1263
779,1.0,3961
780,1.0,1328
781,1.0,2219
782,1.0,3838
783,1.0,1849
784,1.0,2714
785,0.8888888888888888,577
786,1.0,861
787,0.8888888888888888,446
788,0.7941176470588235,-77
789,0.7769784172661871,-47
790,0.8461538461538461,585
791,0.9166666666666666,459
792,1.0,1046
793,0.8,1103
794,1.0,6889
795,1.0,4316
