,Positive,comment_score
120,0.25333333333333335,237
121,0.2441860465116279,241
122,0.23076923076923078,347
123,0.5,588
124,0.45454545454545453,564
125,0.5,857
126,0.0,2660
127,1.0,1636
128,0.0,1497
129,0.2631428571428571,22
130,0.14285714285714285,-141
131,0.26373626373626374,198
132,0.2727272727272727,530
133,0.0,1338
134,0.25,330
135,0.3448275862068966,414
136,0.5,1526
137,1.0,2355
138,1.0,1711
139,1.0,2317
140,0.5,1241
141,0.14285714285714285,1211
142,1.0,2966
143,0.2222222222222222,724
144,0.0,2263
145,1.0,2612
146,0.0,2489
147,0.0,2681
148,0.0,4235
149,0.24899598393574296,130
150,0.3333333333333333,486
151,0.2647058823529412,196
152,0.16666666666666666,487
153,0.25,427
154,0.0,932
155,0.391304347826087,-60
156,0.0,823
157,0.0,1157
158,0.125,1059
159,1.0,1050
160,0.0,1374
161,0.3333333333333333,1152
162,0.0,2828
163,0.0,3821
164,0.0,3125
165,0.0,1972
166,0.0,7226
167,0.0,2282
168,1.0,1428
169,0.26645065275135166,7
170,0.26504065040650404,77
171,0.3737704918032787,-25
172,0.0,677
173,0.0,1527
174,0.0,3243
175,0.25,-209
176,0.3333333333333333,1353
177,1.0,2720
178,1.0,-334
179,0.0,5690
180,0.0,1873
181,0.0,5446
182,0.2595108695652174,34
183,0.38461538461538464,532
184,0.28695652173913044,184
185,0.1111111111111111,635
186,0.0,1529
187,0.5,1540
188,0.0,1041
189,1.0,2577
190,0.16666666666666666,858
191,0.0,8353
192,1.0,1687
193,0.0,1887
194,0.0,1427
195,0.0,830
196,0.3944954128440367,-49
197,0.3333333333333333,551
198,0.5,1319
199,0.19047619047619047,463
200,0.0,939
201,0.25,1200
202,0.0,853
203,0.6666666666666666,-190
204,0.0,5913
205,0.0,1471
206,0.5,1329
207,0.0,4147
208,1.0,3634
209,0.2358490566037736,188
210,0.34375,-65
211,0.07142857142857142,693
212,0.3333333333333333,1458
213,0.2857142857142857,399
214,0.0,1052
215,0.2,1483
216,0.0,1199
217,0.0,1445
218,1.0,5142
219,0.0,3787
220,1.0,3612
221,0.0,2807
222,0.0,2684
223,0.0,2643
224,0.0,8552
225,0.0,2942
226,0.24561403508771928,274
227,0.2987012987012987,126
228,0.2,844
229,0.21428571428571427,202
230,0.32098765432098764,228
231,0.0,1988
232,0.3333333333333333,529
233,0.0,889
234,1.0,3284
235,0.0,6258
236,1.0,2717
237,0.0,1730
238,0.0,5258
239,0.0,6521
240,0.0,2314
241,0.0,1768
242,0.3384586884031123,-7
243,0.26666666666666666,325
244,0.1875,406
245,0.30985915492957744,262
246,0.16666666666666666,624
247,0.0,3823
248,0.0,1567
249,0.25,1694
250,0.0,1899
251,0.0,3636
252,1.0,998
253,0.0,4625
254,0.5,2316
255,0.18181818181818182,570
256,0.5294117647058824,-90
257,0.0,1766
258,0.5,-95
259,0.2222222222222222,734
260,0.0,4358
261,0.0,691
262,0.0,2308
263,0.0,1415
264,0.0,1776
265,0.0,1908
266,1.0,1986
267,1.0,6712
268,0.0,1508
269,0.0,6070
270,1.0,2998
271,0.0,1174
272,0.5833333333333334,-107
273,0.24037089871611983,50
274,0.2642857142857143,94
275,0.2578616352201258,149
276,0.3,421
277,0.3103448275862069,-79
278,0.25,1038
279,0.0,1816
280,0.0,2477
281,1.0,4273
282,0.0,3660
283,0.0,2162
284,0.5,1949
285,0.0,1895
286,0.0,6719
287,0.0,2772
288,0.0,2710
289,0.37342727730246605,-13
290,0.25757575757575757,264
291,0.6666666666666666,961
292,0.0,2841
293,0.0,1210
294,0.375,638
295,1.0,2119
296,0.4,1110
297,0.5,1632
298,0.4,1064
299,0.3333333333333333,600
300,1.0,1789
301,0.0,3849
302,0.0,-221
303,0.0,4159
304,0.25,876
305,0.375,650
306,0.2125,229
307,0.0,3737
308,0.2727272727272727,-116
309,0.0,3687
310,0.0,2196
311,0.0,1376
312,0.5,2153
313,0.3333333333333333,1185
314,0.0,1119
315,0.0,1969
316,0.0,1930
317,0.4,1485
318,0.3333333333333333,1559
319,0.0,5658
320,0.0,1212
321,0.24734982332155478,110
322,0.3263157894736842,190
323,0.47619047619047616,275
324,0.38095238095238093,439
325,0.22857142857142856,343
326,0.08333333333333333,737
327,0.2857142857142857,706
328,0.14285714285714285,629
329,0.6666666666666666,902
330,0.6666666666666666,2530
331,0.5,3410
332,1.0,3054
333,1.0,3796
334,0.0,1967
335,0.0,5528
336,0.0,2215
337,0.2634146341463415,136
338,0.24377224199288255,57
339,0.4171656686626746,-26
340,0.5454545454545454,513
341,0.0,1607
342,0.2857142857142857,828
343,0.0,936
344,0.5,1407
345,0.0,2377
346,1.0,2982
347,0.0,1213
348,0.3081761006289308,144
349,0.13793103448275862,388
350,0.2,-172
351,0.2,412
352,1.0,-204
353,0.19047619047619047,417
354,0.3698630136986301,-61
355,0.0,4802
356,0.0,5104
357,0.0,2623
358,1.0,14019
359,1.0,2041
360,0.0,4319
361,1.0,1710
362,0.0,2526
363,1.0,9253
364,0.0,1571
365,0.0,4229
366,1.0,5046
367,0.0,1911
368,0.0,963
369,0.75,909
370,0.3333333333333333,1025
371,0.0,2212
372,0.0,3405
373,0.5,1549
374,1.0,2235
375,1.0,1771
376,0.0,1283
377,0.0,1240
378,0.0,2939
379,0.25,1256
380,0.5,1219
381,1.0,3210
382,0.0,4167
383,0.25440806045340053,32
384,0.26412049488972567,43
385,0.38064516129032255,-41
386,0.5,1108
