,Negative,date
370,3174,2017-11-05
371,4322,2017-11-06
372,5663,2017-11-07
373,4457,2017-11-08
374,4538,2017-11-09
375,3980,2017-11-10
376,2761,2017-11-11
377,2614,2017-11-12
378,4861,2017-11-13
379,4597,2017-11-14
380,4530,2017-11-15
381,6217,2017-11-16
382,4031,2017-11-17
383,2560,2017-11-18
384,2799,2017-11-19
385,3932,2017-11-20
386,4115,2017-11-21
387,3134,2017-11-22
388,2197,2017-11-23
389,2274,2017-11-24
390,2096,2017-11-25
391,2368,2017-11-26
392,3829,2017-11-27
393,3747,2017-11-28
394,4176,2017-11-29
395,5008,2017-11-30
396,7747,2017-12-01
397,4079,2017-12-02
398,3237,2017-12-03
399,4989,2017-12-04
400,5049,2017-12-05
401,5326,2017-12-06
402,5978,2017-12-07
403,5055,2017-12-08
404,2950,2017-12-09
405,3258,2017-12-10
406,4263,2017-12-11
407,7818,2017-12-12
408,5799,2017-12-13
409,4854,2017-12-14
410,4314,2017-12-15
411,3047,2017-12-16
412,3121,2017-12-17
413,4250,2017-12-18
414,4001,2017-12-19
415,5244,2017-12-20
416,4384,2017-12-21
417,3490,2017-12-22
418,2317,2017-12-23
419,2530,2017-12-24
420,1828,2017-12-25
421,2548,2017-12-26
422,2942,2017-12-27
423,3457,2017-12-28
424,3079,2017-12-29
425,2333,2017-12-30
426,1845,2017-12-31
427,2059,2018-01-01
428,3519,2018-01-02
429,4242,2018-01-03
430,4536,2018-01-04
431,4267,2018-01-05
432,2962,2018-01-06
433,2828,2018-01-07
434,4570,2018-01-08
435,4717,2018-01-09
436,3582,2018-01-10
437,5211,2018-01-11
438,5522,2018-01-12
439,3176,2018-01-13
440,2905,2018-01-14
441,3217,2018-01-15
442,4460,2018-01-16
443,4169,2018-01-17
444,4561,2018-01-18
445,5582,2018-01-19
446,3290,2018-01-20
447,2982,2018-01-21
448,4739,2018-01-22
449,4458,2018-01-23
450,4482,2018-01-24
451,5260,2018-01-25
452,4527,2018-01-26
453,2543,2018-01-27
454,2665,2018-01-28
455,6547,2018-01-29
