,Negative,date
155,0.8685897435897436,2017-04-04
156,0.8855504587155963,2017-04-05
157,0.8781512605042017,2017-04-06
158,0.882875081186404,2017-04-07
159,0.88802543270929,2017-04-08
160,0.8998330550918197,2017-04-09
161,0.8830789217278338,2017-04-10
162,0.8977869039470682,2017-04-11
163,0.9005305039787799,2017-04-12
164,0.9003516998827668,2017-04-13
165,0.896978021978022,2017-04-14
166,0.8869190225203641,2017-04-15
167,0.8945393914130888,2017-04-16
168,0.8730337078651685,2017-04-17
169,0.857865574560347,2017-04-18
170,0.8724188790560472,2017-04-19
171,0.8807017543859649,2017-04-20
172,0.8796211426825542,2017-04-21
173,0.8890714872637634,2017-04-22
174,0.8713472485768501,2017-04-23
175,0.8834144944142079,2017-04-24
176,0.8889419632194889,2017-04-25
177,0.8872735938989513,2017-04-26
